Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t5,6-5,2,---,3(0-2) FCC,O,ATL,Austin Riley,Kyle Finnegan,-1%,64%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7,Bottom of the 5th Nationals Batting Behind 5-6 Braves' Nate Jones facing 5-6-7
,,,,,,,,,Nate Jones replaces Josh Tomlin pitching and batting 9th,Nate Jones replaces Josh Tomlin pitching and batting 9th,Nate Jones replaces Josh Tomlin pitching and batting 9th
b5,5-6,0,---,6(3-2) .BFBCBX,O,WSN,Starlin Castro,Nate Jones,5%,69%,Flyball: CF
,,,,,,,,,Luis Garcia pinch hits for Hernan Perez (2B) batting 6th,Luis Garcia pinch hits for Hernan Perez (2B) batting 6th,Luis Garcia pinch hits for Hernan Perez (2B) batting 6th
b5,5-6,1,---,6(2-2) .SBBFFX,O,WSN,Luis Garcia,Nate Jones,3%,73%,Groundout: 2B-1B
b5,5-6,2,---,1(0-0) X,O,WSN,Andrew Stevenson,Nate Jones,2%,75%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1,Top of the 6th Braves Batting Ahead 6-5 Nationals' Luis Avilan facing 8-9-1
,,,,,,,,,Luis Avilan replaces Kyle Finnegan pitching and batting 9thLuis Garcia moves from PH to 2B,Luis Avilan replaces Kyle Finnegan pitching and batting 9thLuis Garcia moves from PH to 2B,Luis Avilan replaces Kyle Finnegan pitching and batting 9thLuis Garcia moves from PH to 2B
t6,6-5,0,---,3(0-2) ..FFX,O,ATL,Ender Inciarte,Luis Avilan,-2%,73%,Groundout: 2B-1B (2B-1B)
,,,,,,,,,Pablo Sandoval pinch hits for Nate Jones (P) batting 9th,Pablo Sandoval pinch hits for Nate Jones (P) batting 9th,Pablo Sandoval pinch hits for Nate Jones (P) batting 9th
t6,6-5,1,---,5(1-2) .FSFBS,O,ATL,Pablo Sandoval,Luis Avilan,-2%,71%,Strikeout Swinging
t6,6-5,2,---,6(3-2) CBBSBX,O,ATL,Ronald Acuna Jr.,Luis Avilan,-1%,70%,Flyball: RF (Front of Home)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1,Bottom of the 6th Nationals Batting Behind 5-6 Braves' A.J. Minter facing 8-9-1
,,,,,,,,,A.J. Minter replaces Pablo Sandoval (PH) pitching and batting 9th,A.J. Minter replaces Pablo Sandoval (PH) pitching and batting 9th,A.J. Minter replaces Pablo Sandoval (PH) pitching and batting 9th
b6,5-6,0,---,2(0-1) .CX,O,WSN,Jonathan Lucroy,A.J. Minter,6%,76%,Popfly: 1B (Weak 1B)
,,,,,,,,,Carter Kieboom pinch hits for Luis Avilan (P) batting 9th,Carter Kieboom pinch hits for Luis Avilan (P) batting 9th,Carter Kieboom pinch hits for Luis Avilan (P) batting 9th
b6,5-6,1,---,4(1-2) .BSSS,O,WSN,Carter Kieboom,A.J. Minter,5%,81%,Strikeout Swinging
b6,5-6,2,---,2(0-1) FH,,WSN,Victor Robles,A.J. Minter,-4%,77%,Hit By Pitch
b6,5-6,2,1--,5(1-2) CC*BF>S,O,WSN,Trea Turner,A.J. Minter,7%,84%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 1 LOB. Braves 6 Nationals 5.
Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4,Top of the 7th Braves Batting Ahead 6-5 Nationals' Wander Suero facing 2-3-4
,,,,,,,,,Wander Suero replaces Carter Kieboom (PH) pitching and batting 9th,Wander Suero replaces Carter Kieboom (PH) pitching and batting 9th,Wander Suero replaces Carter Kieboom (PH) pitching and batting 9th
